"node1","node2","bact2_w0_net","bact2_w24_net"
"Node9","Node1","0.00181267476185067","0"
"Node50","Node1","0","0"
"Node113","Node1","0.0463135372607236","0"
"Node122","Node1","0.106559135743348","0"
"Node23","Node2","0.037649257098807","0.024126986528382"
"Node30","Node2","0.170247973809644","0"
"Node46","Node2","0.10905158135324","0"
"Node53","Node2","0.00302455110665647","0"
"Node65","Node2","0.0819092378157415","0.0901636213486967"
"Node82","Node2","0.0271023871035855","0"
"Node86","Node2","0","0.00488042629123276"
"Node32","Node3","0.000674966272612866","0.184803176814819"
"Node61","Node4","0.0194555942489578","0.0959108237129211"
"Node64","Node4","0.135891560141709","0.0176487515253502"
"Node92","Node4","0.0818135348932824","0"
"Node94","Node4","0.0971414631456052","0"
"Node82","Node5","0","0"
"Node7","Node6","0.245855099271439","0.1448322900031"
"Node82","Node6","0.0424719370344674","0"
"Node91","Node6","0.0573278123022078","0"
"Node73","Node7","0.023327369927533","0.000204419561263059"
"Node90","Node7","0.0197296413644729","0.0603248837660566"
"Node91","Node7","0.0731710072417509","0.0583130686526537"
"Node91","Node8","0.0674583356727547","0.040462665078133"
"Node93","Node9","0.0945357809156051","0.0737172644403701"
"Node97","Node9","0.0665184688321367","0"
"Node26","Node10","0.012996019075273","0"
"Node54","Node10","0.0123774285746329","0"
"Node77","Node10","0.131319724828913","0"
"Node96","Node10","0.0650095723551767","0"
"Node81","Node11","0.0539294418463336","0"
"Node89","Node11","0.0985465389678971","0"
"Node125","Node11","0.0288584722393268","0"
"Node30","Node13","0.068944123745216","0"
"Node31","Node13","0.170774408827682","0"
"Node32","Node13","0.119367873160283","0"
"Node43","Node13","0.0496332354925084","0"
"Node44","Node13","0.101349368202099","0"
"Node45","Node13","0.088696403344949","0"
"Node48","Node13","0.204452973885311","0.0473998567683573"
"Node51","Node13","0.0601175489377952","0"
"Node60","Node13","0.00251386537747762","0"
"Node62","Node13","0.0118749677184256","0.0227796493087886"
"Node65","Node13","0.00735564678418621","0"
"Node15","Node14","0.150577473209552","0.186150956691065"
"Node19","Node14","0.0110187429272076","0"
"Node22","Node14","0","0"
"Node28","Node14","0.141954656333013","0.0181537233188131"
"Node30","Node14","0.0085100991176625","0"
"Node31","Node14","0.0019672597533748","0"
"Node32","Node14","0.0680180651749498","0"
"Node45","Node14","0.197075929822178","0.0177146876106496"
"Node51","Node14","0.0461041241758205","0"
"Node60","Node14","0.0110450099249298","0"
"Node62","Node14","0.0817517279681865","0"
"Node9","Node15","0.0265606090547629","0"
"Node19","Node15","0.0331578252689724","0"
"Node22","Node15","0.00410381434689376","0.037497038199771"
"Node23","Node15","0.0238963609616726","0.0162332080035517"
"Node26","Node15","0.205639170920155","0.124714379270549"
"Node27","Node15","0.148096556246699","0"
"Node28","Node15","0.189023745092099","0.137871112526687"
"Node30","Node15","0.111421461898469","0.0287175553305621"
"Node31","Node15","0.104376180546192","0.0153417823598014"
"Node32","Node15","0.0569729435402595","0"
"Node35","Node15","0.0743711597301307","0"
"Node41","Node15","0.0116104613155566","0"
"Node42","Node15","0.0617941787190181","0"
"Node44","Node15","0.00185976763239032","0"
"Node45","Node15","0.0931284566276908","0.0854499972515257"
"Node46","Node15","0.109553585392021","0.00391170969187874"
"Node51","Node15","0.0291990379846513","0"
"Node65","Node15","0.0013285003846617","0"
"Node67","Node15","0.167063287079682","0.0325104554327585"
"Node75","Node15","0.0304046694817203","0"
"Node85","Node15","0","0"
"Node93","Node15","0.0149944025546887","0"
"Node95","Node15","0.00857723286968497","0"
"Node96","Node15","0.00135162968053989","0.0222403705421667"
"Node23","Node16","0.0173895173555522","0.0395393791958826"
"Node28","Node16","0","0"
"Node55","Node16","0","0.0387195289578843"
"Node95","Node16","0.0152658519262499","0"
"Node69","Node17","0.0322946750507758","0"
"Node88","Node17","0.00337089492599337","0"
"Node19","Node18","0.0840768829448068","0"
"Node39","Node18","0.0356159897447487","0"
"Node43","Node18","0.035399561902304","0.062493964476638"
"Node46","Node18","0.0108975189136728","0"
"Node47","Node18","0.0698066945975527","0"
"Node50","Node18","0.0813774703516747","0.0284992751373914"
"Node52","Node18","0.113987622521001","0"
"Node54","Node18","0.139504563778049","0.0578586788347756"
"Node56","Node18","0.152299870903713","0"
"Node59","Node18","0.108591105977132","0.0174865748276484"
"Node72","Node18","0.0652195199662357","0"
"Node74","Node18","0.107820852696128","0"
"Node78","Node18","0.00918873056220668","0"
"Node82","Node18","0.0939623488314427","0"
"Node84","Node18","0.00156449982230526","0"
"Node85","Node18","0","0"
"Node86","Node18","0.0139840468931639","0.00837830919272431"
"Node91","Node18","0.107592813227099","0"
"Node97","Node18","0.104735658728545","0"
"Node9","Node19","0.0784296718108367","0.0130052046198527"
"Node23","Node19","0.144407321438807","0"
"Node28","Node19","0.0374349891901442","0.00269239261693487"
"Node30","Node19","0.0276100191321374","0"
"Node35","Node19","0.09172002913941","0"
"Node43","Node19","0.0994512387658735","0.00520808131540106"
"Node45","Node19","0.0824364494052578","0"
"Node47","Node19","0.0599626506964588","0.0121060706023472"
"Node49","Node19","0","0"
"Node50","Node19","0.109666320080038","0"
"Node54","Node19","0.100518410394339","0.0604771969595133"
"Node59","Node19","0.0212216207563697","0.0198147357322769"
"Node65","Node19","0.00763479743620976","0"
"Node67","Node19","0.00779738140322839","0"
"Node72","Node19","0.0533755195946833","0"
"Node73","Node19","0.0147364113289561","0"
"Node74","Node19","0.0495285919789494","0.110822684308193"
"Node75","Node19","0.0210587932484141","0"
"Node83","Node19","0","0"
"Node84","Node19","0","0"
"Node85","Node19","0","0"
"Node86","Node19","0.139881307489852","0.0152123691705571"
"Node93","Node19","0.00396300062492701","0"
"Node97","Node19","0","0"
"Node57","Node20","0.0190161867606943","0"
"Node38","Node21","0.013255877787907","0"
"Node61","Node21","0.0568984420877005","0"
"Node25","Node22","0.0114155340398463","0.106414429726356"
"Node28","Node22","0.0917660805315301","0.0528419038898953"
"Node30","Node22","0.172212973620834","0.0969819536258329"
"Node46","Node22","0.194920764493415","0.0296365753975229"
"Node47","Node22","0.0525739344372155","0.124300199105274"
"Node86","Node22","0","0"
"Node9","Node23","0.0225522323788311","0"
"Node26","Node23","0.0751980770876542","0"
"Node28","Node23","0.123710012955221","0.0188585749500071"
"Node30","Node23","0.186506563541218","0.0288599573760846"
"Node47","Node23","0.198960248975966","0.115342045471338"
"Node49","Node23","0.0896987894390394","0.0541627898908658"
"Node50","Node23","0.042763505481756","0.0496355878559411"
"Node54","Node23","0.0704689447084328","0.129308041272296"
"Node56","Node23","0.0204704884722475","0.002362069833913"
"Node65","Node23","0.00119811042791197","0.0901636213486967"
"Node84","Node23","0.00684672991063116","0"
"Node27","Node24","0.00968549332275599","0"
